barrio,año,trimestre,precio_prom,ambientes,estado,comuna
BOCA,2014,4,,2 ambientes,Usado,4
BOCA,2015,1,1638,2 ambientes,Usado,4
BOCA,2015,2,1636,2 ambientes,Usado,4
BOCA,2015,3,1691,2 ambientes,Usado,4
BOCA,2015,4,1601,2 ambientes,Usado,4
BOCA,2016,1,1545,2 ambientes,Usado,4
BOCA,2016,2,1651,2 ambientes,Usado,4
BOCA,2016,3,1606,2 ambientes,Usado,4
BOCA,2016,4,1574,2 ambientes,Usado,4
BOCA,2017,1,1701,2 ambientes,Usado,4
BOCA,2017,2,1674,2 ambientes,Usado,4
BOCA,2017,3,1706,2 ambientes,Usado,4
BOCA,2017,4,1694,2 ambientes,Usado,4
BOCA,2018,1,1716,2 ambientes,Usado,4
BOCA,2018,2,1865,2 ambientes,Usado,4
BOCA,2018,3,1829,2 ambientes,Usado,4
BOCA,2018,4,1723,2 ambientes,Usado,4
BOCA,2019,1,,2 ambientes,Usado,4
BOCA,2019,2,1893,2 ambientes,Usado,4
BOEDO,2010,1,1259,2 ambientes,Usado,5
BOEDO,2010,2,,2 ambientes,Usado,5
BOEDO,2010,3,1433,2 ambientes,Usado,5
BOEDO,2010,4,1415,2 ambientes,Usado,5
BOEDO,2011,1,,2 ambientes,Usado,5
BOEDO,2011,2,,2 ambientes,Usado,5
BOEDO,2011,3,,2 ambientes,Usado,5
BOEDO,2011,4,,2 ambientes,Usado,5
BOEDO,2012,1,,2 ambientes,Usado,5
BOEDO,2012,2,,2 ambientes,Usado,5
BOEDO,2012,3,,2 ambientes,Usado,5
BOEDO,2012,4,,2 ambientes,Usado,5
BOEDO,2013,1,,2 ambientes,Usado,5
BOEDO,2013,2,,2 ambientes,Usado,5
BOEDO,2013,3,,2 ambientes,Usado,5
BOEDO,2013,4,,2 ambientes,Usado,5
BOEDO,2014,1,,2 ambientes,Usado,5
BOEDO,2014,2,,2 ambientes,Usado,5
BOEDO,2014,3,,2 ambientes,Usado,5
BOEDO,2014,4,,2 ambientes,Usado,5
BOEDO,2015,1,1874,2 ambientes,Usado,5
BOEDO,2015,2,1878,2 ambientes,Usado,5
BOEDO,2015,3,1892,2 ambientes,Usado,5
BOEDO,2015,4,1894,2 ambientes,Usado,5
BOEDO,2016,1,1934,2 ambientes,Usado,5
BOEDO,2016,2,1987,2 ambientes,Usado,5
BOEDO,2016,3,2062,2 ambientes,Usado,5
BOEDO,2016,4,2073,2 ambientes,Usado,5
BOEDO,2017,1,2109,2 ambientes,Usado,5
BOEDO,2017,2,2055,2 ambientes,Usado,5
BOEDO,2017,3,2243,2 ambientes,Usado,5
BOEDO,2017,4,2188,2 ambientes,Usado,5
BOEDO,2018,1,2465,2 ambientes,Usado,5
BOEDO,2018,2,2428,2 ambientes,Usado,5
BOEDO,2018,3,2394,2 ambientes,Usado,5
BOEDO,2018,4,2361,2 ambientes,Usado,5
BOEDO,2019,1,2481,2 ambientes,Usado,5
BOEDO,2019,2,2423,2 ambientes,Usado,5
CABALLITO,2010,1,1600,2 ambientes,Usado,6
CABALLITO,2010,2,1532,2 ambientes,Usado,6
CABALLITO,2010,3,1619,2 ambientes,Usado,6
CABALLITO,2010,4,1687,2 ambientes,Usado,6
CABALLITO,2011,1,1644,2 ambientes,Usado,6
CABALLITO,2011,2,1914,2 ambientes,Usado,6
CABALLITO,2011,3,1949,2 ambientes,Usado,6
CABALLITO,2011,4,2141,2 ambientes,Usado,6
CABALLITO,2012,1,2120,2 ambientes,Usado,6
CABALLITO,2012,2,2209,2 ambientes,Usado,6
CABALLITO,2012,3,2145,2 ambientes,Usado,6
CABALLITO,2012,4,2131,2 ambientes,Usado,6
CABALLITO,2013,1,2211,2 ambientes,Usado,6
CABALLITO,2013,2,2194,2 ambientes,Usado,6
CABALLITO,2013,3,2105,2 ambientes,Usado,6
CABALLITO,2013,4,2092,2 ambientes,Usado,6
CABALLITO,2014,1,2091,2 ambientes,Usado,6
CABALLITO,2014,2,2064,2 ambientes,Usado,6
CABALLITO,2014,3,2118,2 ambientes,Usado,6
CABALLITO,2014,4,2014,2 ambientes,Usado,6
CABALLITO,2015,1,2192,2 ambientes,Usado,6
CABALLITO,2015,2,2122,2 ambientes,Usado,6
CABALLITO,2015,3,2141,2 ambientes,Usado,6
CABALLITO,2015,4,2203,2 ambientes,Usado,6
CABALLITO,2016,1,2240,2 ambientes,Usado,6
CABALLITO,2016,2,2295,2 ambientes,Usado,6
CABALLITO,2016,3,2367,2 ambientes,Usado,6
CABALLITO,2016,4,2401,2 ambientes,Usado,6
CABALLITO,2017,1,2424,2 ambientes,Usado,6
CABALLITO,2017,2,2442,2 ambientes,Usado,6
CABALLITO,2017,3,2527,2 ambientes,Usado,6
CABALLITO,2017,4,2781,2 ambientes,Usado,6
CABALLITO,2018,1,2758,2 ambientes,Usado,6
CABALLITO,2018,2,2848,2 ambientes,Usado,6
CABALLITO,2018,3,2876,2 ambientes,Usado,6
CABALLITO,2018,4,2895,2 ambientes,Usado,6
CABALLITO,2019,1,2854,2 ambientes,Usado,6
CABALLITO,2019,2,2780,2 ambientes,Usado,6
CHACARITA,2010,1,,2 ambientes,Usado,15
