barrio,anio,mes,precio_prom,ambientes,comuna
BARRACAS,2014,Mar,NA,3 ambientes,4
BARRACAS,2014,Abr,NA,3 ambientes,4
BARRACAS,2014,May,NA,3 ambientes,4
BARRACAS,2014,Jun,NA,3 ambientes,4
BARRACAS,2014,Jul,NA,3 ambientes,4
BARRACAS,2014,Ago,NA,3 ambientes,4
BARRACAS,2014,Sep,NA,3 ambientes,4
BARRACAS,2014,Oct,NA,3 ambientes,4
BARRACAS,2014,Nov,NA,3 ambientes,4
BARRACAS,2014,Dic,NA,3 ambientes,4
BARRACAS,2015,Ene,NA,3 ambientes,4
BARRACAS,2015,Feb,NA,3 ambientes,4
BARRACAS,2015,Mar,NA,3 ambientes,4
BARRACAS,2015,Abr,NA,3 ambientes,4
BARRACAS,2015,May,NA,3 ambientes,4
BARRACAS,2015,Jun,NA,3 ambientes,4
BARRACAS,2015,Jul,NA,3 ambientes,4
BARRACAS,2015,Ago,NA,3 ambientes,4
BARRACAS,2015,Sep,NA,3 ambientes,4
BARRACAS,2015,Oct,NA,3 ambientes,4
BARRACAS,2015,Nov,NA,3 ambientes,4
BARRACAS,2015,Dic,NA,3 ambientes,4
BARRACAS,2016,Ene,NA,3 ambientes,4
BARRACAS,2016,Feb,NA,3 ambientes,4
BARRACAS,2016,Mar,NA,3 ambientes,4
BARRACAS,2016,Abr,NA,3 ambientes,4
BARRACAS,2016,May,NA,3 ambientes,4
BARRACAS,2016,Jun,NA,3 ambientes,4
BARRACAS,2016,Jul,NA,3 ambientes,4
BARRACAS,2016,Ago,NA,3 ambientes,4
BARRACAS,2016,Sep,NA,3 ambientes,4
BARRACAS,2016,Oct,NA,3 ambientes,4
BARRACAS,2016,Nov,NA,3 ambientes,4
BARRACAS,2016,Dic,NA,3 ambientes,4
BARRACAS,2017,Ene,NA,3 ambientes,4
BARRACAS,2017,Feb,NA,3 ambientes,4
BARRACAS,2017,Mar,NA,3 ambientes,4
BARRACAS,2017,Abr,NA,3 ambientes,4
BARRACAS,2017,May,NA,3 ambientes,4
BARRACAS,2017,Jun,NA,3 ambientes,4
BARRACAS,2017,Jul,NA,3 ambientes,4
BARRACAS,2017,Ago,NA,3 ambientes,4
BARRACAS,2017,Sep,NA,3 ambientes,4
BARRACAS,2017,Oct,NA,3 ambientes,4
BARRACAS,2017,Nov,NA,3 ambientes,4
BARRACAS,2017,Dic,NA,3 ambientes,4
BARRACAS,2018,Ene,NA,3 ambientes,4
BARRACAS,2018,Feb,NA,3 ambientes,4
BARRACAS,2018,Mar,NA,3 ambientes,4
BARRACAS,2018,Abr,NA,3 ambientes,4
BARRACAS,2018,May,NA,3 ambientes,4
BARRACAS,2018,Jun,NA,3 ambientes,4
BARRACAS,2018,Jul,NA,3 ambientes,4
BARRACAS,2018,Ago,NA,3 ambientes,4
BARRACAS,2018,Sep,NA,3 ambientes,4
BARRACAS,2018,Oct,NA,3 ambientes,4
BARRACAS,2018,Nov,NA,3 ambientes,4
BARRACAS,2018,Dic,NA,3 ambientes,4
BARRACAS,2019,Ene,NA,3 ambientes,4
BARRACAS,2019,Feb,NA,3 ambientes,4
BARRACAS,2019,Mar,NA,3 ambientes,4
BARRACAS,2019,Abr,NA,3 ambientes,4
BARRACAS,2019,May,NA,3 ambientes,4
BARRACAS,2019,Jun,NA,3 ambientes,4
BARRACAS,2019,Jul,NA,3 ambientes,4
BARRACAS,2019,Ago,NA,3 ambientes,4
BELGRANO,2013,Jul,4172,3 ambientes,13
BELGRANO,2013,Ago,4528,3 ambientes,13
BELGRANO,2013,Sep,4429,3 ambientes,13
BELGRANO,2013,Oct,4592,3 ambientes,13
BELGRANO,2013,Nov,4697,3 ambientes,13
BELGRANO,2013,Dic,4778,3 ambientes,13
BELGRANO,2014,Ene,4721,3 ambientes,13
BELGRANO,2014,Feb,5523,3 ambientes,13
BELGRANO,2014,Mar,5484,3 ambientes,13
BELGRANO,2014,Abr,5477,3 ambientes,13
BELGRANO,2014,May,5647,3 ambientes,13
BELGRANO,2014,Jun,5697,3 ambientes,13
BELGRANO,2014,Jul,5971,3 ambientes,13
BELGRANO,2014,Ago,5906,3 ambientes,13
BELGRANO,2014,Sep,6261,3 ambientes,13
BELGRANO,2014,Oct,6018,3 ambientes,13
BELGRANO,2014,Nov,6842,3 ambientes,13
BELGRANO,2014,Dic,6462,3 ambientes,13
BELGRANO,2015,Ene,6577,3 ambientes,13
BELGRANO,2015,Feb,7192,3 ambientes,13
