barrio,año,precio_prom
VILLA CRESPO,2013,2156.7
VILLA CRESPO,2014,2137.1666666666665
VILLA CRESPO,2015,2206.2
VILLA CRESPO,2016,2382.714285714286
VILLA CRESPO,2017,2665.0
VILLA CRESPO,2018,2952.9375
VILLA CRESPO,2019,2960.625
VILLA DEL PARQUE,2010,1615.0
VILLA DEL PARQUE,2011,1775.7142857142858
VILLA DEL PARQUE,2012,1990.0
VILLA DEL PARQUE,2013,2082.5
VILLA DEL PARQUE,2014,2034.5714285714287
VILLA DEL PARQUE,2015,2106.3846153846152
VILLA DEL PARQUE,2016,2286.9375
VILLA DEL PARQUE,2017,2400.4615384615386
VILLA DEL PARQUE,2018,2629.777777777778
VILLA DEL PARQUE,2019,2621.3333333333335
VILLA DEVOTO,2010,1607.6666666666667
VILLA DEVOTO,2011,1812.2
VILLA DEVOTO,2012,2029.0
VILLA DEVOTO,2013,2064.875
VILLA DEVOTO,2014,2078.1
VILLA DEVOTO,2015,2110.3636363636365
VILLA DEVOTO,2016,2207.909090909091
VILLA DEVOTO,2017,2398.8333333333335
VILLA DEVOTO,2018,2804.0
VILLA DEVOTO,2019,2859.25
VILLA GRAL. MITRE,2010,1418.8
VILLA GRAL. MITRE,2011,1506.0
VILLA GRAL. MITRE,2012,1676.0
VILLA GRAL. MITRE,2013,1920.0
VILLA GRAL. MITRE,2014,1767.0
VILLA GRAL. MITRE,2015,1808.857142857143
VILLA GRAL. MITRE,2016,1916.625
VILLA GRAL. MITRE,2017,2121.777777777778
VILLA GRAL. MITRE,2018,2372.4444444444443
VILLA GRAL. MITRE,2019,2339.6666666666665
VILLA LUGANO,2010,1098.0
VILLA LUGANO,2011,1188.090909090909
VILLA LUGANO,2012,913.5
VILLA LUGANO,2013,966.0
VILLA LUGANO,2014,1357.5
VILLA LUGANO,2015,987.3333333333334
VILLA LUGANO,2016,1070.25
VILLA LUGANO,2017,1106.25
VILLA LUGANO,2018,1251.0
VILLA LUGANO,2019,1289.0
VILLA LURO,2010,1165.0
VILLA LURO,2011,1129.6666666666667
VILLA LURO,2012,
VILLA LURO,2013,2057.0
VILLA LURO,2014,1934.0
VILLA LURO,2015,1916.4166666666667
VILLA LURO,2016,2010.0
VILLA LURO,2017,2155.5714285714284
VILLA LURO,2018,2400.9166666666665
VILLA LURO,2019,2507.8333333333335
